datetime,open,high,low,close,volume,ema20,ema50,ema200,ema50_slope,bb_lower,bb_middle,bb_upper,rsi,rsi_delta,volume_sma20,volume_sma50,atr,atr_percentile,bb_width,bb_squeeze_pct,macd,macd_signal,macd_hist,adx,plus_di,minus_di,regime,fib_0236,fib_0382,fib_0500,fib_0618,fib_0786,fib_swing_high,fib_swing_low,fib_direction,fib_proximity,obv,obv_sma20,obv_trend,ema20_touched,ema50_touched,ema50_touched_up,stoch_rsi_k,stoch_rsi_d,bbwp,rsi_div_bearish,rsi_div_bullish
2024-08-12 11:00:00+00:00,58970.94,59980.0,58887.17,59845.17,1541.754439,59102.60631972087,59627.469161291636,58193.65888355292,-2.7320827311680946,57659.762183810824,58973.48550000001,60287.208816189195,57.70003467778153,12.421159027472612,1198.4602222999997,1133.2148188600002,623.4334645704448,0.5959595959595959,4.455301581892035,,-367.49213093091385,-499.9015979004919,132.40946696957803,37.329775418161184,20.125470430737746,20.427857665848066,ranging,58651.9032,59268.5634,59766.96,60265.3566,60974.9382,57655.11,61878.81,-1,0.1306872384187381,4064.1161569999967,1742.689142049996,1,True,True,True,91.73711750749773,85.59911159297728,56.00000000000001,False,True
2024-08-12 12:00:00+00:00,59845.17,59940.0,59517.59,59732.97,992.530253,59162.640955937924,59631.60644908412,58208.97541207478,-2.5444534326203123,57707.08068894205,58951.0755,60195.07031105795,55.94486473638131,-1.7551699414002186,1208.8677232999999,1135.85614928,609.0746456725561,0.5757575757575758,4.220431266119818,,-273.9384696493871,-454.70897225027096,180.77050260088384,34.716623839331426,19.12850138397516,19.41590905800746,ranging,58651.9032,59268.5634,59766.96,60265.3566,60974.9382,57655.11,61878.81,-1,0.05690324790479691,3071.585903999997,1767.3675382499962,1,False,True,True,98.25055062193321,91.34404081119489,54.0,False,True
2024-08-12 13:00:00+00:00,59732.97,59879.97,57980.7,58161.92,1681.780076,59067.334198229546,59573.97168637494,58208.50719901931,-2.6339690644112252,57713.52694971283,58845.89400000001,59978.26105028718,38.352655785806846,-17.592208950574467,1244.41513915,1153.24214458,701.2314566959453,0.7070707070707071,3.8485847467528504,,-322.8455615838029,-428.3362901169774,105.49072853317449,34.66457462689472,15.42784953412368,31.31466489145387,trending_down,58651.9032,59268.5634,59766.96,60265.3566,60974.9382,57655.11,61878.81,-1,0.8424467417856949,1389.8058279999968,1659.415342699996,-1,True,True,True,78.96622995792652,89.65129936245249,53.0,False,True
2024-08-12 14:00:00+00:00,58161.92,60710.73,57778.14,60300.57,2091.677077,59184.785226969594,59602.46573788965,58229.3237443027,-2.3796036959806717,57707.069051441336,58847.48400000001,59987.898948558686,57.80449674057389,19.451840954767043,1297.2309453,1181.81325822,860.6142097890923,0.98989898989899,3.8758324775913096,,-186.87937365112884,-380.0449068238077,193.16553317267886,33.054747154806016,18.567836426574416,23.69277677036632,ranging,58651.9032,59268.5634,59766.96,60265.3566,60974.9382,57655.11,61878.81,-1,0.058396462919008144,3481.4829049999967,1604.2789532999964,1,True,True,True,78.9662299579265,85.39433684592875,54.0,False,True
2024-08-12 15:00:00+00:00,60300.57,60518.5,59238.0,60208.94,1232.135471,59282.32377678202,59626.249042286145,58249.02141848875,-2.064861476472037,57633.08669740668,58876.5625,60120.03830259332,56.97500255648706,-0.8294941840868262,1290.7381838,1186.8076068199998,890.6060519470143,1.0,4.224009520234198,,-85.53299423206772,-321.1425243054597,235.60953007339197,31.559907359295078,16.66093955303132,21.259554023729855,ranging,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.20891292887734006,2249.3474339999966,1555.6353253999962,1,True,True,True,79.7853495594417,79.23926982509825,56.99999999999999,False,True
2024-08-12 16:00:00+00:00,60208.94,60420.91,59550.55,59605.39,861.747039,59313.091988517066,59625.43104062787,58262.51762327991,-1.7012115260059937,57661.10743610091,58931.35349999999,60201.59956389907,51.71123303101909,-5.263769525467971,1236.4321882,1190.91738564,889.1599053793705,0.98989898989899,4.310934633120489,,-53.30226398371451,-267.57447224111064,214.27220825739613,30.171841834892067,15.49603456304776,19.773121611665665,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.025013476130258235,1387.6003949999968,1561.2976930999962,-1,False,True,True,92.23569263309226,83.66242405015349,59.0,False,True
2024-08-12 17:00:00+00:00,59605.39,59919.57,59252.35,59299.56,796.020296,59311.80322770591,59612.65178413266,58272.83645289902,-1.496700635762717,57665.74876998303,58945.8085,60225.86823001697,49.229312907829545,-2.4819201231895462,1236.5113273000002,1191.8722866599999,873.3070549951298,0.9797979797979798,4.343174731472106,0.5959595959595959,-51.839529299293645,-224.42748365274724,172.5879543534536,29.310740896174195,14.650376823472136,21.133057117180684,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.09296021758002927,591.5800989999967,1487.4371702999963,-1,True,True,True,82.61808588906364,84.87970936053253,60.0,False,True
2024-08-12 18:00:00+00:00,59299.56,59500.31,58433.6,58527.85,1018.778792,59237.14101554344,59570.110537696084,58275.373901128885,-1.431746130469642,57629.61598979248,58922.149,60214.682010207514,43.5493753244595,-5.679937583370048,1229.50302435,1191.09070112,887.1215510669061,0.9797979797979798,4.387256853810668,0.6161616161616161,-111.66365991065686,-201.87471890432917,90.21105899367231,29.492194284438245,13.392077403722697,25.910318117835455,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.09844673945821958,-427.19869300000323,1420.5849504499963,-1,True,True,False,67.56040251713303,80.8047270130963,62.0,False,False
2024-08-12 19:00:00+00:00,58527.85,59295.84,58527.85,59047.65,942.361111,59219.09425215835,59549.62188915898,58283.05824042114,-1.2472325225633942,57647.80310184513,58938.198,60228.592898154864,47.909001965462096,4.359626641002599,1231.53683595,1185.37189998,878.612154562127,0.9696969696969697,4.37880675671444,0.6161616161616161,-115.79637010576698,-184.65904914461674,68.86267903884976,29.66068671639772,12.555938802969472,24.292599187231335,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.2527799497524472,515.1624179999968,1445.9350300999963,-1,True,True,False,63.29596179472895,71.15815006697521,62.0,False,False
2024-08-12 20:00:00+00:00,59047.65,59393.3,58733.17,58846.45,826.146014,59183.60432338136,59522.046520956676,58288.66412857616,-1.0691295576432807,57685.30655568208,58957.680499999995,60230.05444431791,46.41478629916269,-1.4942156662994037,1200.0170395,1175.40202292,863.0062863791183,0.9393939393939394,4.316227957162985,0.5959595959595959,-133.7647741605615,-174.4801941478057,40.71541998724419,29.603996904183195,12.676567631105268,22.96532252039086,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.08826255449564661,-310.9835960000032,1502.8049061999964,-1,True,True,False,58.92964791993353,63.26200407726517,60.0,False,False
2024-08-12 21:00:00+00:00,58846.45,59224.64,58551.04,58976.25,531.948334,59163.856292583136,59500.642735821115,58295.50577903809,-0.9068985658802774,57716.34778778212,58977.2145,60238.08121221788,47.55126827420743,1.1364819750447381,1176.7005476,1165.35363824,849.4772659234669,0.8888888888888888,4.2757757310423035,0.5858585858585859,-135.96378276005998,-166.77691187025658,30.8131291101966,29.772697757299113,11.958568431660636,23.196015547765423,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.13202029630571538,220.96473799999683,1536.3582903999963,-1,True,True,False,62.32907651239162,61.51822874235137,59.0,False,False
2024-08-12 22:00:00+00:00,58976.25,59257.09,58854.71,59055.3,823.501922,59153.51759805141,59483.17831480852,58303.0659205402,-0.7674730100694482,57738.79382791207,58994.2245,60249.65517208792,48.27082494345392,0.7195566692464865,1162.8283036,1161.90140866,817.5417469289334,0.8787878787878788,4.256113823779224,0.5757575757575758,-129.83122502166225,-159.38777450053772,29.556549478875468,29.851211686145124,11.821669457963154,22.380538385269162,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.26570116484041634,1044.4666599999969,1556.0394305999966,-1,True,True,False,61.72235883397479,60.993694422099985,57.99999999999999,False,False
2024-08-12 23:00:00+00:00,59055.3,59753.48,59021.1,59349.13,1027.08058,59172.147350617946,59477.92151814937,58313.47451834577,-0.5618905726661816,57791.75557713533,59035.99650000001,60280.23742286469,50.96376139970183,2.6929364562479137,1166.46401645,1169.3589925,811.4587650054386,0.8585858585858586,4.215194107427929,0.5555555555555556,-100.10752622352447,-147.53172484513507,47.4241986216106,28.800955163910338,15.429021646190213,20.937717187421875,trending_down,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.1764052817623438,2071.547239999997,1674.7929159499968,1,True,True,True,63.983763733456584,62.678399693274336,56.00000000000001,False,False
2024-08-13 00:00:00+00:00,59349.13,59894.45,59271.85,59792.37,1029.681804,59231.21617436862,59490.252831163125,58328.189896272685,-0.30571291505536524,57836.99198644118,59099.460999999996,60361.93001355881,54.787405622808436,3.823644223106605,1148.8792477499999,1165.39354876,797.9688532193358,0.8484848484848485,4.272353731140855,0.5959595959595959,-40.32072487201367,-126.0895248505108,85.76879997849713,27.534197867733493,15.831014701519136,19.770841825567036,ranging,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.33765074038711046,3101.229043999997,1775.9616325999966,1,False,True,True,71.40215878611296,65.70276045118145,60.0,False,False
2024-08-13 01:00:00+00:00,59792.37,59925.99,59460.23,59740.18,886.012043,59279.68891966685,59500.05389660771,58342.23954904609,-0.09008555071357767,57889.781678675135,59157.675,60425.56832132487,54.2509904767315,-0.5364151460769335,1124.3137674000002,1159.15620362,774.2396494179543,0.8181818181818182,4.286488004556864,0.6262626262626263,2.8169767552099074,-100.30822452936667,103.12520128457658,26.290746161599643,15.441743073122035,18.921301681283122,ranging,58470.23124,58898.38938,59244.435,59590.48062,60083.15574,57778.14,60710.73,-1,0.2505840792578767,2215.2170009999973,1763.9636645999967,1,False,True,True,77.01788611565289,70.80126954507413,63.0,False,False
