score,strategy,total_trades,long_trades,short_trades,wins,win_rate,profit_factor,total_pnl_pct,max_drawdown_pct,sharpe_ratio,avg_win_pct,avg_loss_pct,avg_bars_held,buy_hold_pct,train_pnl,test_pnl,train_wr,test_wr,train_trades,test_trades,p,params
0.0,momentum,223,27,196,73,32.74,0.6918,-13.6317,12.8784,-2.0839,0.4191,-0.2948,3.6,9.336219859055417,-10.1697,-3.462,30.17,35.51,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.0,momentum,223,27,196,73,32.74,0.6918,-13.6317,12.8784,-2.0839,0.4191,-0.2948,3.6,9.336219859055417,-10.1697,-3.462,30.17,35.51,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
0.0,momentum,223,27,196,55,24.66,0.7554,-7.7445,7.6052,-1.4006,0.4349,-0.1885,2.6,9.336219859055417,-5.3191,-2.4254,21.55,28.04,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}"
0.0,momentum,223,27,196,71,31.84,0.782,-6.6656,7.1558,-1.2197,0.3368,-0.2012,2.4,9.336219859055417,-3.8033,-2.8623,31.03,32.71,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}"
0.0,momentum,223,27,196,65,29.15,0.6929,-12.1629,11.5741,-1.9697,0.4222,-0.2507,3.1,9.336219859055417,-9.3294,-2.8335,26.72,31.78,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}"
0.0,momentum,223,27,196,82,36.77,0.7234,-10.6896,10.2598,-1.7394,0.3409,-0.274,3.0,9.336219859055417,-8.4302,-2.2593,33.62,40.19,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}"
0.0,momentum,240,29,211,82,34.17,0.7449,-11.9059,11.3757,-1.6036,0.4239,-0.2954,3.8,9.336219859055417,-9.0615,-2.8444,31.93,36.36,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.0,momentum,240,29,211,82,34.17,0.7449,-11.9059,11.3757,-1.6036,0.4239,-0.2954,3.8,9.336219859055417,-9.0615,-2.8444,31.93,36.36,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
0.0,momentum,240,29,211,60,25.0,0.7487,-8.4527,8.3826,-1.3942,0.4198,-0.1869,2.6,9.336219859055417,-4.494,-3.9587,22.69,27.27,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}"
0.0,momentum,240,29,211,79,32.92,0.7795,-7.1387,8.0422,-1.1915,0.3194,-0.2011,2.5,9.336219859055417,-2.9782,-4.1605,31.93,33.88,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}"
